FechaHora,Folio,Mensaje,Resultado
2025-10-28 13:25:18,OV-533381-F1,📦 Nuevo pedido detectado: *OV-533381-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:25:18,OV-533444-F1,📦 Nuevo pedido detectado: *OV-533444-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:25:19,OV-533321-F1,📦 Nuevo pedido detectado: *OV-533321-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:25:19,OV-533371-F1,📦 Nuevo pedido detectado: *OV-533371-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:25:20,OV-533350-F1X,📦 Nuevo pedido detectado: *OV-533350-F1X* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:25:20,OV-533349-F1X,📦 Nuevo pedido detectado: *OV-533349-F1X* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:25:21,OV-533369-F1X,📦 Nuevo pedido detectado: *OV-533369-F1X* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:25:21,OV-533466-F1,📦 Nuevo pedido detectado: *OV-533466-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:25:21,OV-533148-F1,📦 Nuevo pedido detectado: *OV-533148-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:46:46,OV-533455-F1,📦 Nuevo pedido detectado: *OV-533455-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 13:58:17,OV-533413-F1,📦 Nuevo pedido detectado: *OV-533413-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 14:40:17,OV-533455-F1,📦 Nuevo pedido detectado: *OV-533455-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 14:40:18,OV-533350-F1X,📦 Nuevo pedido detectado: *OV-533350-F1X* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 14:40:18,OV-533369-F1X,📦 Nuevo pedido detectado: *OV-533369-F1X* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 14:40:19,OV-533371-F1,📦 Nuevo pedido detectado: *OV-533371-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 14:40:19,OV-533096-F1,📦 Nuevo pedido detectado: *OV-533096-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 14:40:19,OV-533349-F1X,📦 Nuevo pedido detectado: *OV-533349-F1X* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 14:40:20,OV-533080-F1,📦 Nuevo pedido detectado: *OV-533080-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 14:40:20,OV-533067-F1,📦 Nuevo pedido detectado: *OV-533067-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
2025-10-28 14:40:21,OV-533444-F1,📦 Nuevo pedido detectado: *OV-533444-F1* Por favor imprimir la factura correspondiente.,✅ Enviado
